@relation LSST_TRAIN_channel_2

@attribute channel_2_0 numeric
@attribute channel_2_1 numeric
@attribute channel_2_2 numeric
@attribute channel_2_3 numeric
@attribute channel_2_4 numeric
@attribute channel_2_5 numeric
@attribute channel_2_6 numeric
@attribute channel_2_7 numeric
@attribute channel_2_8 numeric
@attribute channel_2_9 numeric
@attribute channel_2_10 numeric
@attribute channel_2_11 numeric
@attribute channel_2_12 numeric
@attribute channel_2_13 numeric
@attribute channel_2_14 numeric
@attribute channel_2_15 numeric
@attribute channel_2_16 numeric
@attribute channel_2_17 numeric
@attribute channel_2_18 numeric
@attribute channel_2_19 numeric
@attribute channel_2_20 numeric
@attribute channel_2_21 numeric
@attribute channel_2_22 numeric
@attribute channel_2_23 numeric
@attribute channel_2_24 numeric
@attribute channel_2_25 numeric
@attribute channel_2_26 numeric
@attribute channel_2_27 numeric
@attribute channel_2_28 numeric
@attribute channel_2_29 numeric
@attribute channel_2_30 numeric
@attribute channel_2_31 numeric
@attribute channel_2_32 numeric
@attribute channel_2_33 numeric
@attribute channel_2_34 numeric
@attribute channel_2_35 numeric
@attribute target {6,15,16,42,52,53,62,64,65,67,88,90,92,95}

@data
-1.7842,16.837,29.103,17.971,0.46536,-3.7655,1.3528,3.458,-2.0542,-10.826,-13.918,-8.3675,-0.84096,2.9446,3.1921,1.3362,-1.0521,-5.1266,-7.2751,-5.0353,-0.57403,5.2968,6.7921,2.5037,11.452,30.371,35.584,59.439,136.12,181.8,126.67,200.76,779.53,1639.8,1823.8,950.92,6
23.654,17.803,51.196,126.25,169.93,165.09,183.85,245.9,264.49,189.5,98.894,73.759,76.231,41.409,-4.0758,-10.666,2.3797,2.1869,-1.5008,1.7029,2.7243,1.5985,3.2033,2.9161,1.3561,1.6555,-0.10893,-4.1482,-3.9832,-1.7559,-1.9062,0.73169,6.0301,3.7833,-4.6464,-5.9048,6
3003.8,3381.8,3092.2,3287.7,2511,1012.5,221.89,53.667,3.1829,0.11938,13.202,-7.2346,-15.517,27.737,25.763,-25.046,-17.919,10.521,3.8212,-7.0161,-0.90286,1.865,-3.2192,0.61983,6.1785,10.067,17.709,14.883,-1.0278,-5.6793,0.99989,-4.4442,-13.096,-4.7701,6.0153,4.4831,6
14.989,-0.91957,-4.3181,1.6227,-3.5281,-2.9077,-1.3015,6.7464,14.634,-2.5303,-5.4628,18.072,3.8211,8.4735,96.548,106.48,11.544,-14.165,0.66793,-8.6112,-2.2396,-0.15003,-8.0342,-7.6397,-3.2855,4.4169,5.6648,3.3827,3.1763,1.5488,0.4222,-8.2979,-17.209,-10.324,-2.7519,-2.2354,6
9.6577,8.9551,0.5413,-6.9224,-4.8328,3.9975,7.6252,0.51179,-6.6173,-1.2046,9.5383,8.2562,-2.3171,-2.5344,9.0696,13.12,5.0934,0.37963,0.94822,0.65618,4.6652,8.1426,0.97132,4.1778,25.403,18.047,-14.969,4.6919,51.731,16.031,-24.261,109.03,296.87,250.62,24.583,-72.256,6
-6.5947,2.0181,-3.5996,-10.754,9.324,20.967,-14.442,-24.8,40.215,50.291,-63.029,-58.761,244.11,539.01,432.25,77.093,-80.706,10.334,63.065,-2.3209,-29.476,13.117,22.441,-6.5599,-5.4738,15.999,11.041,-8.4196,-11.62,-3.8591,1.739,6.1158,7.0425,0.13248,-6.139,-4.948,6
-4.7186,2.6393,7.6849,4.3878,-0.58186,-4.2718,-1.0384,10.13,10.921,-0.84691,-1.7991,5.9294,2.1397,-5.6258,-5.2309,-3.97,-4.2664,-3.5384,-3.7582,-2.6166,-2.1712,-5.519,-3.851,3.1404,1.4195,-5.1459,1.7246,12.426,1.2263,-9.4983,13.52,23.001,-6.9632,11.007,79.94,72.524,6
4.0488,8.3313,5.9717,8.1002,20.122,22.34,12.837,7.4018,-2.6001,-17.997,-14.438,-1.803,-9.0696,-19.45,-6.7506,8.68,0.38375,-7.2736,3.4629,0.67582,-7.9225,1.974,-12.538,-27.253,18.8,20.715,-31.799,68.307,235.48,178.89,23.055,23.543,70.82,39.018,11.759,12.016,6
-1.1162,-3.3971,0.68302,4.4072,-30.638,57.759,-105.72,188.07,-313.17,485.39,-754.56,1229.3,-2326.9,8277.5,23938,5586.6,4137.7,1124.8,1199,37.771,327.59,68.133,153.46,58.557,-1.2223,-4.3786,-5.3886,-1.6779,1.1716,-3.1164,1.8235,-0.77684,-1.2357,3.2066,2.7454,0.40953,6
0.7154,-2.9212,-6.5162,-4.768,0.75856,4.0991,3.1329,1.7964,-3.4334,-4.6431,5.8794,0.55585,-11.465,7.0809,7.7117,-10.92,23.804,8.9664,-73.129,58.275,315.32,247.12,-18.113,-48.995,34.201,1.7747,-23.702,3.8372,-4.0733,-10.418,10.507,10.146,-6.3625,-16.435,-20.568,-12.5,6
0.21452,-9.3007,-10.247,0.93279,6.6836,0.78553,-2.9234,6.6129,28.389,53.829,69.741,69.704,66.338,74.847,82.4,65.716,38.678,30.993,32.579,22.64,15.256,19.456,17.646,9.5686,6.9844,2.9334,-3.1726,-1.3595,-0.2752,-5.4845,-2.8617,3.4195,-2.1669,-7.1524,0.42465,5.0483,6
-36.594,-52.187,-58.343,-57.287,-55.318,-54.683,-51.215,-41.93,-32.036,-30.796,-38.983,-46.56,-44.855,-37.542,-34.528,-38.058,-41.742,-42.357,-44.29,-49.573,-51.28,-43.144,-30.816,-25.908,-31.156,-38.976,-44.446,-50.537,-58.159,-60.457,-52.308,-40.675,-36.081,-37.276,-32.462,-16.724,6
2.6161,11.09,10.206,5.0535,14.864,33.899,33.243,10.513,-3.5403,2.8871,7.0341,-3.1416,-9.9165,-2.0198,6.1404,1.8155,-6.7251,-7.3415,-1.9705,0.76534,-0.24095,-0.21161,0.83913,-1.2788,-4.4827,-1.8827,4.712,5.4695,-0.55807,-3.3782,0.70383,4.2665,2.8515,0.59245,0.59861,0.822,6
1.4798,1.5061,3.9697,4.0219,-2.0308,-1.1708,8.3636,3.792,-3.8606,25.511,55.465,14.234,-19.906,113.04,359.31,473.67,370.12,203.16,99.384,42.017,3.076,-5.7978,4.0786,6.4824,2.2611,0.28574,-2.071,-3.5865,-0.21593,2.5975,-0.2022,-3.7313,-3.0421,-0.37982,1.4165,0.7084,6
47.057,54.016,60.102,61.218,48.193,74.445,138.91,161.36,140.54,157.14,193.64,181.54,182.45,197.27,174.71,251.55,351.92,245.11,312.08,887.16,1379.3,1393.3,1428.9,1567.7,1499.4,1449.4,1783.1,2407.8,2635.4,2496,3376.1,4735.3,5095.6,6292.4,7740.8,4831,6
-110.8,-142.36,-139.07,-141.21,-146.66,-127.91,-93.727,-82.008,-109.16,-144.38,-142.98,-114.47,-112.24,-139.08,-143.36,-121.74,-121.91,-139.7,-132.7,-117.08,-135.53,-157.9,-123.94,-60.576,-54.006,-113.22,-157.91,-145.08,-119.48,-122.33,-134.91,-139.18,-151.19,-166,-139.9,-64.779,6
-4.0601,-7.6275,-5.7725,-8.9017,-5.1534,-5.9501,-7.6093,-6.775,-4.9436,-5.9398,-7.8256,-7.699,-8.3299,-6.0867,-4.9536,-7.9654,-8.4589,-5.1897,-6.7618,-7.6063,-5.0092,-7.4993,-8.1454,-7.5789,-5.7497,-7.2865,-4.7513,-6.2378,-6.6699,-4.2655,-3.8566,-6.2824,-10.318,-9.0929,-6.7837,-9.5565,6
-67.536,-80.807,-83.963,-93.27,-83.567,-73.439,-85.402,-89.443,-75.159,-73.573,-86.17,-85.899,-76.892,-79.384,-85.83,-85.418,-83.65,-78.575,-70.45,-77.314,-95.355,-91.142,-73.555,-81.589,-97.238,-92.296,-92.065,-97.455,-82.236,-71.735,-83.695,-80.666,-64.627,-80.449,-99.426,-59.091,6
11148,13130,12918,14495,14517,15052,17345,18922,19702,20399,23790,25757,15995,3077.3,1290.6,3245,1647.8,1436.1,2074.7,1137.3,887.8,998.27,-0.21957,-1022.6,-1181.5,-1032,-1087.3,-1143.5,-1129,-1146,-1150.6,-1222.2,-1172,-1205.1,-1390.4,-879.91,6
-883.45,-1016.8,-892.09,-907.08,-966.89,-931.27,-917.44,-952,-952.14,-935.32,-934.5,-937.28,-946.47,-950.31,-938.47,-938.17,-947.84,-940.89,-934.86,-946.01,-950.77,-935.26,-925.05,-935.55,-939.21,-927.41,-937.27,-950.76,-914.22,-900.48,-959.49,-937.13,-862.82,-980.43,-1038.3,-588.08,6
189.06,368.45,758.35,975.12,574.82,12.142,-84.585,52.736,24.896,-30.488,12.296,23.275,-3.7625,0.63972,2.5429,-6.4434,1.0299,1.2276,-11.553,-7.9213,8.8748,16.807,10.219,-5.1342,-14.496,-6.9011,5.3373,4.2787,-2.5184,-0.30189,5.3877,4.7499,-0.49433,-6.4959,-9.5906,-5.9625,6
-31.609,-8.1685,24.44,19.431,9.7742,25.803,26.385,9.0647,24.268,37.387,-0.42539,-19.245,23.52,50.461,18.882,-25.469,-36.791,-12.919,7.27,-1.7751,-10.8,1.9454,11.83,1.599,-11.801,-10.017,-4.4179,-15.142,-17.374,16.469,39.81,18.725,2.7158,8.1328,0.15798,-8.3705,6
